id_user;name;surname;email;id_event;name_event
1;abi;zoughlache;1msila@algerie.dz;Event_4;event msila
2;omi;zoughlache;2msila@algerie.dz;Event_4;event msila
3;akho;zoughlache;3msila@algerie.dz;Event_4;event msila
4;walidos;zoughlache;4msila@algerie.dz;Event_4;event msila
5;hamooz;zoughlache;5msila@algerie.dz;Event_4;event msila
6;lamis;zoughlache;6msila@algerie.dz;Event_4;event msila
7;danouch;zoughlache;7msila@algerie.dz;Event_4;event msila
8;samouch;zoughlache;8msila@algerie.dz;Event_4;event msila
9;foufa;zoughlache;9msila@algerie.dz;Event_4;event msila
10;adoudou;zoughlache;10msila@algerie.dz;Event_4;event msila
