birthdate;civility;email;name;surname;role
2025-03-12;M;1msila@algerie.dz;abi;zoughlache;Organisateur
2025-03-13;M;2msila@algerie.dz;omi;zoughlache;Organisateur
2025-03-14;M;3msila@algerie.dz;akho;zoughlache;Membre
2025-03-15;M;4msila@algerie.dz;walidos;zoughlache;Invité
2025-03-16;M;5msila@algerie.dz;hamooz;zoughlache;Invité
2025-03-17;M;6msila@algerie.dz;lamis;zoughlache;Invité
2025-03-18;M;7msila@algerie.dz;danouch;zoughlache;Membre
2025-03-19;M;8msila@algerie.dz;samouch;zoughlache;Membre
2025-03-20;M;9msila@algerie.dz;foufa;zoughlache;Membre
2025-03-21;M;10msila@algerie.dz;adoudou;zoughlache;Membre
